"PLANET_IDX","P_NAME","star_code","relative mass (earth)","Density (Earth)","RELATIVE RADIUS","TERRAIN TYPE","TYPE_CLIMATE"
712,"Enishi Resonance XVI",5173,5.67,0.993,1.79,"ice canyon|acid pool|grassland|city|cliff|jungle|plateau","superheated|subartic|windy|tropical|temperate|hot"
713,"Celaeno Janusian",3543,3.56,1.149,1.46,"plateau|lakes|volcano|grassland","arid|temperate|tropical|hot|humid"
714,"Taygeta Alpha",3942,2.16,1.381,1.16,"lava river|rocky canyon|jungle|plain|bog|city|plateau","hot|rocky|windy|superheated|temperate|artic|frigid"
715,"Taygeta Phi",3942,3.74,0.662,1.78,"swamp|rainforest|ash","humid|hot"
716,"Auroraflame Si",3210,2.13,1.807,1.06,"cave","subartic|tropical|rocky|humid"
717,"Auroraflame Er",3210,1.91,0.684,1.41,"plain|island","humid"
718,"Auroraflame Wu",3210,8.11,1.185,1.9,"jungle|grassy hill","tropical|humid|subartic"
719,"Auroraflame San",3210,5.72,0.978,1.8,"savanna|cave","rocky"
720,"Quantum Mirage Hecatean",2042,1.94,0.855,1.31,"cave","artificial temperate|humid|superheated|artic|frigid"
721,"Quantum Mirage Olympios",2042,2.19,0.755,1.43,"volcano|canyons|mountain|lava river|rocky island|sinkholes","frigid|arid|windy|superheated|rocky"
722,"Quantum Mirage Janusian",2042,3.53,1.02,1.51,"rock arche|desert","rocky"
723,"Bastet's Mirage Yi",1551,8.47,1.241,1.9,"vine|canyons|rocky island","artic|rocky|superheated"
724,"Bastet's Mirage Ba",1551,0.69,1.175,0.84,"glacier|savanna","subartic|hot|artificial temperate|frozen"
725,"Bastet's Mirage Qi",1551,1.97,1.27,1.16,"rainforest|valley|hill","artificial temperate|tropical|artic"
726,"Bastet's Mirage Wu",1551,1.91,1.057,1.22,"forest|jungle|cityscape|rocky canyon|vine","temperate|hot|arid|rocky|humid"
727,"Bastet's Mirage San",1551,1.02,1.268,0.93,"valley|acid pool|grassy hill","artificial temperate|tropical|subartic|temperate|humid"
728,"Dombay Ba",9363,1.72,0.975,1.21,"river|fungus forest|hill","artic|hot|windy|tropical|superheated|frigid"
729,"Dombay Er",9363,0.97,0.87,1.04,"sea|savanna|plateau|rock arche|ice cave|lava river","humid|artic|subartic|arid"
730,"Dombay Shi",9363,9.64,0.921,2.19,"fungus forest|cityscape|grassy hill|swamp|toxic cloudsea","tropical|artificial temperate|frigid|frozen"
731,"Dombay Wu",9363,3.41,1.116,1.45,"plain|lakes|fungus forest|grassy hill","temperate|tropical|artic|windy"
732,"Dombay Yi",9363,3,0.913,1.49,"forest|rocky island|valley|verdant|hill","windy|temperate|artic|frigid"
733,"Arcalís Artemian",3248,8.28,0.544,2.48,"plain|plateau|ocean","artificial temperate|tropical|frigid|hot"
734,"Arcalís Gaios",3248,1.52,1.092,1.12,"canyons|rocky canyon","artificial temperate|frigid|hot|superheated"
735,"Starlight Whisper Omega",2474,1.44,1.195,1.06,"rocky desert|sea|plateau|vine|grassy hill","arid|subartic|artificial temperate|hot"
736,"Starlight Whisper Tau",2474,4.81,0.867,1.77,"valley|cave|vine|ice canyon|verdant|savanna","tropical|frigid|artificial temperate|rocky|humid"
737,"Starlight Whisper Beta",2474,4.6,0.852,1.75,"cave","windy|hot|subartic|temperate|artic"
738,"Celestrium Wu",7407,1.89,0.877,1.29,"rocky desert|cliff|grassland|rainforest|ice canyon|city|jungle","windy|frozen|rocky|subartic|artificial temperate|humid"
739,"Celestrium Ba",7407,1.87,0.656,1.42,"barren","humid|arid"
740,"Celestrium Si",7407,5.73,0.915,1.84,"hill","windy|hot"
741,"Celestrium Qi",7407,6.09,1.144,1.75,"ash|fungus forest","arid|superheated|artificial temperate|tropical|frigid"
742,"Celestrium Liu",7407,1.52,1.098,1.11,"rocky canyon|river|valley|swamp|field","humid|temperate|frozen|subartic|artificial temperate|windy"
743,"Alrakis Yi",8284,6.01,0.952,1.85,"rock arche","subartic|windy|frozen|rocky|frigid|humid"
744,"Alrakis Ba",8284,2.05,0.748,1.4,"volcano|river|swamp|verdant","rocky|tropical|artificial temperate|subartic|artic|hot|frigid"
745,"Alrakis San",8284,1.32,1.259,1.02,"cave|ash","subartic|artic|superheated|windy"
746,"Alrakis Shi",8284,2.54,1.27,1.26,"island|sinkholes|city","windy|artificial temperate|hot|rocky"
747,"Solarflarex Omega",6565,4.09,1.035,1.58,"ice canyon|grassy hill|forest","humid|arid|windy|tropical|hot|subartic|superheated"
748,"Photara Decimal",8848,2.52,0.773,1.48,"rocky island|sea|scrubland|ash|cliff|vine|rock arche|grassland|sinkholes","superheated|humid|subartic|temperate|arid|rocky"
749,"Photara Septimal",8848,5.84,0.859,1.89,"acid pool|island","subartic|hot|artic|arid"
750,"Photara Quartal",8848,6.04,1.08,1.78,"cityscape|fungus forest|rock arche|ice cave|desert","hot|subartic|artificial temperate|artic|tropical|frigid"
751,"Photara Nonal",8848,8.96,NA,1.9,"rock arche","frigid"
752,"Photara Prime",8848,4.3,0.857,1.71,"field|grassy hill|hill","subartic|temperate"
753,"Okab V",5001,0.65,0.948,0.88,"plain|lava river|ice canyon|savanna|vine","windy|superheated|arid|subartic"
754,"Okab II",5001,8.51,NA,2.05,"plateau|lakes|rock arche|canyons|savanna|rainforest","frozen|artificial temperate|temperate|superheated|hot"
755,"Bonsai Celestial Octal",6714,1.21,0.745,1.18,"glacier","frozen|humid"
756,"Bonsai Celestial Decimal",6714,5.73,1.709,NA,"river","subartic|temperate|rocky"
757,"Bonsai Celestial Vigesimal",6714,0.92,1.105,0.94,"rainforest|acid pool|lava river","superheated|windy|subartic"
758,"Bonsai Celestial Tertial",6714,2.91,0.555,1.74,"toxic cloudsea|plain|grassland","temperate|artificial temperate|superheated|frozen|subartic"
759,"Nile Celestial Aetherios",9975,9.62,0.91,2.19,"plateau|glacier","temperate|rocky|arid|superheated|frozen|windy"
760,"Geisha's Mirage Wu",5292,1.49,0.91,1.18,"savanna|cityscape|desert|rocky island|plateau|volcano","superheated|artic|rocky|frozen|frigid"
761,"Geisha's Mirage Er",5292,3.16,0.996,1.47,"city|cliff|jungle|field|verdant|ice canyon","frigid|arid|rocky|artificial temperate|temperate|humid"
762,"Sadalsuud Poseidian",6776,2.96,0.903,1.49,"savanna|rocky island|island","subartic|arid|humid"
763,"Sadalsuud Gaios",6776,7.69,1.3,1.81,"toxic cloudsea|field|desert|jungle|urban","artic|windy|humid|rocky|tropical"
764,"Alioth Dionian",2316,1.96,0.783,1.36,"grassland|verdant|cityscape|tundra|plateau","frigid|artic|temperate|tropical"
765,"Frostbloom Ba",4832,6.9,0.665,2.18,"barren|cliff|cave|forest|tundra|valley","artificial temperate|subartic|frigid|arid"
766,"Tupã Irisian",1487,5.36,1.286,1.61,"city|cityscape|lakes|forest|plateau|island","subartic|temperate|arid|frozen"
767,"Tupã Titanos",1487,1.04,1.153,0.97,"reef|cave|valley","frozen|hot|tropical"
768,"Aetherionis Omicron",7260,1.47,0.67,1.3,"vine|mountain|ocean","temperate|artificial temperate"
769,"Shama Hecatean",1399,7.91,1.393,1.78,"canyons|sea|city|acid pool|ocean","rocky|frigid|artic"
770,"Shama Gaios",1399,2.05,0.703,1.43,"ocean|field","hot|temperate|humid"
771,"Uklun Qi",473,3.55,1.218,1.43,"glacier","subartic|artificial temperate|temperate|frozen|superheated"
772,"Uklun Jiu",473,1.67,0.723,1.32,"vine","humid|arid|hot|temperate"
773,"Uklun San",473,1.72,0.548,1.46,"swamp|field","windy|frigid|tropical"
774,"Uklun Ba",473,2.18,0.744,1.43,"ocean|sea|grassy hill|urban|plain|ice canyon","artificial temperate|temperate|superheated|subartic"
775,"Brimstone Apollox",9013,4.81,0.982,1.7,"island|lakes|field","artificial temperate|rocky"
776,"Cosmaraud Orphean",208,1.54,0.967,1.17,"lakes","tropical|frozen|subartic|arid"
777,"Meleph Liu",8207,1.62,0.581,1.41,"rocky desert","frozen|hot|tropical"
778,"Tegmine Omicron",1640,2.39,1.049,NA,"fungus forest|river|cityscape|verdant|rainforest","windy|frigid|tropical|frozen"
779,"Tegmine Alpha",1640,1.84,1.101,1.19,"fungus forest|cave|valley","frigid|humid|temperate"
780,"Tegmine Gamma",1640,8.22,0.774,2.2,"forest","temperate|tropical|arid|humid"
781,"Tegmine Rho",1640,3.87,1.168,1.49,"hill|urban|volcano|reef|ash|plain|forest","temperate|hot|humid|superheated|frigid"
782,"Denebola Hermian",9779,2.45,0.995,1.35,"vine","rocky|subartic|frigid|hot|tropical"
783,"Denebola Chimeraean",9779,0.66,1.43,0.77,"jungle|cave","windy|tropical|frigid|humid|arid"
784,"Denebola Cerberian",9779,5.58,0.698,2,"city|ocean","tropical"
785,"Denebola Janusian",9779,5.72,0.556,2.17,"ice canyon|jungle","frozen|subartic|tropical|windy"
786,"Tojil XXI",920,3.23,0.71,1.66,"lakes|rock arche","rocky|artificial temperate|artic|windy|hot"
787,"Tojil VII",920,1.74,0.982,1.21,"urban","subartic|windy|frigid"
788,"Baekdu Quartal",4791,2.47,1.242,1.26,"savanna|rocky desert|tundra","frozen|frigid|tropical|artic"
789,"Baekdu Septimal",4791,2.47,0.706,1.52,"desert|forest|bog|cave|cityscape","hot|frigid|rocky|artificial temperate"
790,"Baekdu Octal",4791,4.36,0.864,1.72,"lakes|ash","hot|artic|tropical"
791,"Baekdu Tertial",4791,3.65,1.496,1.35,"acid pool|rocky canyon|verdant|toxic cloudsea|canyons|lakes|forest|plain","windy|superheated|subartic|artic|artificial temperate|arid"
792,"Baekdu Secant",4791,1.14,1.158,0.99,"ice canyon|island","temperate|artificial temperate|windy|artic"
793,"Rimeblade XIX",899,1.39,1.05,1.1,"verdant|plain","arid|frozen|windy"
794,"Palladium Shroud Phi",5661,5.06,1.176,1.63,"cityscape|urban","temperate|subartic|artic|frigid"
795,"Palladium Shroud Epsilon",5661,0.82,1.156,0.89,"rock arche|canyons|cityscape","superheated|subartic|frigid"
796,"Palladium Shroud Tau",5661,2.31,0.504,1.66,"plain|ice canyon|ice cave|mountain|acid pool|rainforest","frozen|artificial temperate|humid|artic"
797,"Palladium Shroud Mu",5661,7.44,0.762,2.14,"cityscape|plain|vine|river|glacier|tundra|rocky desert","temperate|frozen|rocky|arid|subartic|superheated"
798,"Nenque Hecatean",9956,5.61,1.001,1.78,"ash|canyons|valley|rocky desert","windy|hot|superheated|frozen"
799,"Nebulith Quartal",7357,0.55,0.953,0.83,"field|canyons|hill|ocean|lakes|scrubland|forest|ice canyon|swamp","tropical|frigid|arid|temperate|subartic|rocky"
800,"Nebulith Quintal",7357,4.24,NA,1.81,"rocky island|desert|rocky canyon|ash|valley|ocean","hot|artic|frigid|superheated|rocky|arid"
801,"Nebulith Duodecimal",7357,2.28,1.067,1.29,"fungus forest|plateau|city|jungle|rocky canyon|lakes","arid|subartic|hot|frigid"
802,"Peacock Aetherios",1307,2.88,0.85,1.5,"toxic cloudsea|cave|swamp|bog|fungus forest|cliff","frozen|tropical|frigid|artic"
803,"Botein XX",4132,1.17,1.426,0.94,"plain","artic|artificial temperate|arid"
804,"Lunariara XXI",8668,1.62,1.097,1.14,"river|hill","tropical"
805,"Yozora Septimal",6133,8.82,1.044,2.04,"rock arche","rocky|windy"
806,"Yozora Decimal",6133,4.3,1.094,1.58,"urban|hill","frozen|windy"
807,"Yozora Quintal",6133,5.45,1.096,1.71,"valley|grassy hill|vine|ocean|cave|savanna|verdant","frigid|superheated|hot|subartic|rocky"
808,"Almaaz Psi",7581,3.19,0.925,1.51,"volcano|rocky canyon|savanna|urban|cliff","rocky|frozen|subartic|arid"
809,"Almaaz Eta",7581,3.69,1.146,1.48,"reef","frigid|tropical|arid|subartic|hot|windy"
810,"Almaaz Chi",7581,2.07,0.916,NA,"glacier","subartic|humid"
811,"Pulsariana Dionysios",4885,2.9,1.374,1.28,"ash","rocky|frigid|artic|hot"
812,"Pulsariana Herculean",4885,2.57,1.002,1.37,"hill|grassy hill|ocean|canyons|fungus forest|glacier","humid|artificial temperate|artic|temperate|tropical"
813,"Ignifera Upsilon",3274,4.99,0.935,1.75,"ash|savanna|desert","superheated|humid"
814,"Solaris Shroud Lambda",6715,3.48,1.171,1.44,"ocean|rocky canyon|acid pool|city","temperate|superheated|windy|hot"
815,"Solaris Shroud Zeta",6715,1.96,0.956,1.27,"vine|acid pool|forest|verdant|ice cave|swamp|ash|city|grassy hill","windy|hot|arid|temperate|frozen|humid|superheated"
816,"Ignitionix XVIII",4936,0.79,1.075,0.9,"ocean|plateau|city|tundra|urban|sea","frigid|artic|rocky|subartic|windy|frozen"
817,"Ignitionix III",4936,7.92,0.956,2.02,"fungus forest|city|hill|cityscape|forest|sinkholes","hot|superheated|subartic|artificial temperate|frozen|humid"
818,"Ignitionix XVI",4936,1.79,0.849,1.28,"lava river|cityscape|canyons|tundra|reef","tropical|superheated|arid|artificial temperate|frigid"
819,"Ignitionix VIII",4936,8.8,0.839,2.19,"jungle|plateau|ice canyon|glacier|cave","tropical|windy|humid|subartic|temperate|artic|rocky"
820,"Rana Shi",2382,4,1.113,1.53,"mountain|forest","arid|frozen|tropical|subartic|artificial temperate"
821,"Rana Ba",2382,3.02,1.07,1.41,"field|plain|plateau","rocky|superheated|temperate"
822,"Rana San",2382,0.86,0.888,0.99,"ocean|swamp","windy|subartic|humid"
823,"Rana Qi",2382,6.6,0.757,2.06,"jungle|rainforest|vine|plain|rocky canyon|ocean","artic|artificial temperate|hot|tropical"
824,"Kawa Enigma Demetrian",9246,0.97,0.846,1.05,"ice cave","windy|artificial temperate|artic"
825,"Ecliptix Persephonian",2439,4.23,0.836,1.72,"bog|jungle|swamp|river","hot|superheated|subartic|tropical|artificial temperate|frozen"
826,"Ecliptix Hermian",2439,1.63,0.807,1.26,"plain","arid|artificial temperate|tropical|frigid"
827,"Ecliptix Artemian",2439,1.62,1.181,1.11,"rock arche|forest|ocean","windy|hot|temperate|artificial temperate"
828,"Gakyid Gamma",6338,0.37,1.158,0.68,"ocean|city|volcano|bog|lava river|ash","hot|subartic|tropical|superheated"
829,"Gakyid Nu",1780,0.59,1.09,0.81,"rainforest|scrubland","superheated|arid|subartic|windy"
830,"Gakyid Mu",1780,2.38,0.481,1.7,"river","humid|windy|rocky"
831,"Lysian Nexus Cerberian",6829,2.92,0.684,1.62,"canyons|grassy hill|cityscape|lava river","tropical|frozen|arid|hot"
832,"Pharaoh's Silence Pantheon",6968,0.69,0.959,0.9,"mountain|rocky island","rocky|arid"
833,"Pleione Yi",3140,2.37,0.936,1.36,"volcano|ice cave|lava river","rocky|tropical|arid|frigid|windy|humid"
834,"Pleione Wu",3140,0.87,0.853,1.01,"glacier","subartic|humid"
835,"Guniibuu Yi",8478,2.95,1.197,1.35,"tundra|rock arche|urban|ocean","rocky|frigid|artic"
836,"Ephemeral Labyrinth Olympios",738,9.17,1.291,1.92,"cliff|jungle","temperate|superheated|hot|artificial temperate|subartic|arid"
837,"Parumleo XII",3639,2.05,1.01,1.27,"plain|toxic cloudsea|ice cave","artic|rocky"
838,"Parumleo XVIII",3639,1.3,0.51,1.37,"rainforest|volcano","arid|hot|superheated"
839,"Horna Chi",1297,5.4,0.649,2.03,"mountain|savanna|verdant|glacier|toxic cloudsea","frozen|artificial temperate|temperate|superheated|arid|rocky|hot"
840,"Kōri Septimal",5535,5.17,NA,1.69,"lava river","frozen|tropical|superheated|rocky"
841,"Kōri Nonal",5535,1.5,0.964,NA,"rocky canyon|jungle|ice canyon|acid pool|grassland|sea","artic|rocky|humid|arid|subartic"
842,"Kōri Decimal",5535,8.16,0.853,2.12,"sea|plain|valley|volcano|verdant|rocky desert|island|savanna","frozen|humid|artic|artificial temperate|subartic|arid|tropical"
843,"Kōri Prime",5535,2.6,0.978,1.39,"sea","windy|superheated|rocky|frozen|tropical"
844,"Eonix Si",364,7.93,1.381,1.79,"savanna|sea|jungle|rainforest","artic|arid|tropical"
845,"Reikon Resonance Harpian",3768,3.46,0.846,1.6,"jungle|grassy hill|cliff","artic|hot"
846,"Ebon Crypt XII",2614,7.55,1.343,1.78,"ice cave|tundra","arid|frigid|artic"
847,"Ebon Crypt III",2614,2.18,0.977,1.31,"toxic cloudsea|cliff|desert|tundra|rocky island|lava river|ocean","artificial temperate|hot|rocky|frozen|humid|temperate|subartic"
848,"Ebon Crypt X",2614,2.77,0.948,1.43,"city|rainforest","tropical|windy|subartic"
849,"Ebon Crypt XXIII",2614,6.63,0.975,NA,"river|valley","humid|temperate|artificial temperate|subartic"
850,"Ebon Crypt IX",2614,9.25,1.19,1.98,"forest|verdant|rocky island|grassland|toxic cloudsea|bog|plateau|grassy hill|ash","temperate|rocky|artic|arid|humid|tropical|superheated"
851,"Torii Celestial Sirenios",5094,3.98,1.486,1.39,"volcano","arid|frozen|artificial temperate"
852,"Torii Celestial Atlasios",5094,4.16,0.96,1.63,"tundra|volcano","frigid|artic|hot|artificial temperate"
853,"Torii Celestial Athenian",5094,1.8,0.887,1.27,"volcano|reef|ash","frigid|superheated|windy|artificial temperate"
854,"Torii Celestial Nyxios",5094,8.46,0.873,2.13,"field|rock arche|tundra","frigid|hot|artic|artificial temperate"
855,"Amaterasu Mirage XIII",2953,3.13,0.826,1.56,"ocean|mountain|rocky desert","windy|subartic|tropical|artificial temperate|frigid|frozen|arid"
856,"Amaterasu Mirage XII",2953,6.25,0.7,2.07,"acid pool|ash|ocean|valley|plain|forest","frigid|superheated|humid|subartic|artificial temperate|rocky"
857,"Rasalgethi Psi",3016,1.33,0.942,1.12,"forest|toxic cloudsea|swamp|bog|city","artic|tropical|rocky|frigid|superheated"
858,"Rasalgethi Zeta",3016,1.67,1.374,1.07,"field","arid|tropical|humid"
859,"Rasalgethi Theta",3016,0.83,1.409,0.84,"bog|plain|mountain|sea|rainforest","artificial temperate|hot|humid"
860,"Rasalgethi Mu",3016,1.4,0.615,1.32,"ash","frozen|hot|superheated|artificial temperate"
861,"Rasalgethi Chi",3016,0.94,0.913,1.01,"desert","subartic|rocky|artic"
862,"Caph Vigesimal",4001,9.59,1.034,2.1,"vine|rocky desert","artic|temperate"
863,"Caph Septimal",4001,5.71,1.25,1.66,"rocky desert|plain|grassland|barren","rocky|superheated|arid|humid"
864,"Caph Secant",4001,2,1.157,1.2,"cliff|plain","tropical|subartic|frozen|temperate|arid|artic"
865,"Nebula Nova Kappa",5921,9.53,0.877,2.21,"urban|hill|fungus forest|ice cave|ice canyon","artificial temperate|tropical|frozen"
866,"Nebula Nova Eta",5921,5.81,0.833,1.91,"valley","tropical|frigid"
867,"Nebula Nova Lambda",5921,1.81,1.675,1.03,"ash|vine","windy|hot"
868,"Nebula Nova Beta",5921,2.52,0.483,1.73,"grassy hill|mountain|tundra|jungle|ice canyon","artificial temperate|windy|frozen|tropical"
869,"Marfik Dionian",7635,6.81,0.72,2.12,"plateau","windy|subartic|tropical|frozen"
870,"Cerulean Abyss XIX",6771,1.07,0.697,1.15,"jungle|ocean","tropical"
871,"Cerulean Abyss XX",6771,0.8,1.246,0.86,"tundra|rainforest|fungus forest","frozen|tropical"
872,"Cerulean Abyss I",6771,3.48,0.976,1.53,"desert|scrubland|rocky canyon|forest|ice cave|verdant|tundra","frozen|arid|artificial temperate|temperate|subartic"
873,"Cerulean Abyss XXI",6771,1.62,0.913,1.21,"barren|scrubland|savanna|canyons","artificial temperate|windy|artic|arid"
874,"Cerulean Abyss II",6771,2.24,1.128,1.26,"lava river","hot|windy|artificial temperate"
875,"Felixvarela XVII",9397,2.68,0.803,1.49,"rocky desert|plateau|mountain|lava river|plain","artic|frigid|hot|tropical"
876,"Felixvarela XII",9397,1.67,1.331,1.08,"","windy"
877,"Felixvarela XXII",9397,7.78,0.83,2.11,"plain|verdant","rocky"
878,"Nebula Obscura Si",6678,2.18,0.984,1.3,"canyons|desert|jungle|lakes","hot|arid|subartic|frozen|superheated|temperate"
879,"Nebula Obscura Shi",6678,8.64,1.411,1.83,"ice canyon","frigid|tropical|arid|artificial temperate"
880,"Aludra Demetrian",4748,8.63,0.788,2.22,"ice canyon|rocky desert","rocky|temperate|frozen"
881,"Imai XX",3429,3.09,1.227,1.36,"cliff|plateau|city","arid|artificial temperate|artic|humid"
882,"Imai XIII",3429,5.55,0.668,2.03,"cityscape|urban","frozen|humid"
883,"Imai IX",3429,1.24,0.893,1.12,"bog|island|savanna|canyons|mountain","subartic|artificial temperate|temperate|superheated"
884,"Imai VIII",3429,3.15,1.032,1.45,"river|field|swamp","subartic|superheated|hot|artic|tropical"
885,"Propus Poseidian",2355,5.31,1.219,1.63,"island|river|glacier","humid|superheated|rocky|windy|temperate|frozen"
886,"Propus Apollox",2355,7.52,0.867,2.05,"desert","temperate|artificial temperate|humid|arid|superheated|tropical"
887,"Tureis Pegasusian",1453,4.53,1.107,1.6,"ocean","frozen|artificial temperate|humid|artic|windy|arid|subartic"
888,"Tureis Atlasios",1453,9.44,NA,2.16,"acid pool|rocky island","subartic|humid"
889,"Tureis Oranos",1453,4.83,0.809,1.81,"volcano|city|lava river|forest","superheated|tropical|rocky|subartic"
890,"Ephemeral Phoenix Liu",8261,2.4,0.975,1.35,"plateau","artificial temperate|subartic"
891,"Nyamien Dionian",256,5.07,1.098,1.67,"desert|rocky island","temperate|superheated"
892,"Obelisk Beacon Eosian",603,2.02,1.293,1.16,"vine|cliff|mountain","rocky|arid|superheated"
893,"Cacophonic Murmurs Er",7950,2.23,0.692,1.48,"reef|glacier|sea|ash","superheated|frigid|tropical|rocky|artificial temperate|artic"
894,"Cacophonic Murmurs Ba",7950,3.44,0.922,1.55,"ash|verdant","hot|frozen"
895,"Comet Veil Jiu",9280,7,0.998,1.91,"island|ice canyon","artic|frigid"
896,"Comet Veil Wu",9280,2.91,0.497,1.8,"city","frigid|artificial temperate|subartic|rocky"
897,"Comet Veil San",9280,1.32,0.821,1.17,"hill|glacier|city|river|ice canyon","rocky|arid|subartic"
898,"Comet Veil Shi",9280,3.55,0.538,1.88,"desert|cliff|cityscape|ice canyon|swamp|jungle|cave|hill|tundra","windy|rocky|humid|artificial temperate|temperate|arid|subartic"
899,"Comet Veil Er",9280,2.16,0.94,1.32,"verdant","frozen|frigid"
900,"Sheliak Nonal",7024,2.73,1.156,1.33,"urban|desert","frozen|superheated|windy"
901,"Aetherion Asclepian",8277,0.84,0.736,1.04,"glacier","frigid|subartic|rocky|frozen|humid"
902,"Dabih Jiu",1847,4.62,1.189,1.57,"island|ice canyon","hot|rocky|subartic|superheated"
903,"Dabih Ba",1847,6.71,1.32,1.72,"verdant","subartic|humid|artificial temperate|artic|frozen"
904,"Kachō XVIII",5362,6.63,0.956,1.91,"ocean|mountain|jungle","temperate|tropical|subartic|artificial temperate|artic"
905,"Kachō VIII",5362,2.78,0.689,1.59,"cityscape|river|fungus forest","temperate|humid|artificial temperate"
906,"Kūkan Cascade Asclepian",9490,6.21,1.036,1.82,"ash|acid pool|sinkholes|tundra|barren|ocean","tropical|humid|windy|arid|subartic|superheated"
907,"Hunahpú Iota",3749,8.25,0.665,2.31,"tundra|lakes|jungle|bog|canyons|forest","artic|hot|frozen|artificial temperate|arid|tropical"
908,"Hunahpú Psi",3749,0.88,1.131,0.92,"volcano|savanna|rocky island|jungle|valley|rocky canyon|swamp|vine","frozen|artic|artificial temperate|humid|arid|subartic"
909,"Hunahpú Rho",3749,4.79,1.175,1.6,"city|rocky island|glacier|plain|mountain|jungle|rocky desert|jungle","humid|subartic|frigid|hot|frozen|artificial temperate"
910,"Hunahpú Tau",3749,1.86,1.062,1.21,"field|savanna|cityscape|swamp|volcano|verdant","frigid|humid|hot|tropical|windy|frozen|subartic"
911,"Tiaki Pegasusian",8623,2.58,1.047,1.35,"jungle|grassland","temperate|frigid|hot|humid|artic|subartic"
912,"Tiaki Dionysios",8623,1.67,0.379,1.64,"valley","rocky"
913,"Luminastra Nu",8521,3.52,NA,1.36,"mountain|jungle|ash|ice canyon|forest|hill|acid pool|canyons","windy|subartic|humid|hot|artificial temperate|superheated"
914,"Luminastra Zeta",8521,1.12,1.067,1.02,"field|island","temperate|tropical|subartic"
915,"Luminastra Tau",8521,8.09,1.088,1.95,"lakes|sea","humid|windy"
916,"Phoenicia III",3510,1.03,0.583,1.21,"lava river|volcano","arid|rocky|tropical|hot|temperate"
917,"Phoenicia VII",3510,2.57,1.178,1.3,"rocky island","rocky|windy|frozen|hot|arid"
918,"Phoenicia II",3510,7.07,0.668,2.2,"plain","frigid|arid"
919,"Rukbat III",5841,1.03,0.919,1.04,"savanna","subartic|rocky|tropical|artic"
920,"Kōkei Labyrinth XVI",8755,6.56,0.729,2.08,"rock arche","arid|frigid|windy|frozen|superheated"
921,"Kōkei Labyrinth VIII",8755,2.29,0.98,1.33,"scrubland|desert","arid|superheated|rocky"
922,"Kōkei Labyrinth XIX",8755,5.26,1.146,1.66,"swamp|cave|rocky canyon|cliff|bog|ocean","tropical|artificial temperate|rocky|artic"
923,"Kōkei Labyrinth V",8755,2.94,1.148,1.37,"ocean|field","hot|windy"
924,"Kōkei Labyrinth XXIII",8755,3.61,1.195,1.45,"mountain|glacier","subartic|windy"
925,"Crimson Void XVII",6441,4.39,0.938,1.67,"ice canyon|grassland|lakes|rainforest|swamp","humid|subartic|windy|temperate|artic"
926,"Geisha's Echo Si",1777,2.32,0.988,1.33,"plateau|sea","frigid"
927,"Poerava Liu",7171,0.94,0.876,1.02,"lava river|plateau|sinkholes|rainforest|bog|mountain","artificial temperate|artic|superheated|frigid|tropical|windy"
928,"Kurai Veil Yi",9243,2.74,0.817,1.5,"ocean|tundra|jungle|jungle|ice canyon|canyons|rocky desert|field","arid|frigid|frozen|temperate|hot|artic"
929,"Kurai Veil San",9243,3,0.947,1.47,"sinkholes|acid pool|barren","subartic|superheated|arid"
930,"Riftwanderer VI",1222,5.01,1.003,1.71,"ice canyon","frigid|arid"
931,"Riftwanderer VIII",1222,2.02,1.122,1.22,"canyons|acid pool|lava river|sinkholes","arid|tropical|hot"
932,"Hunor Octal",8039,3.01,1.008,1.44,"verdant|jungle|rocky canyon|rainforest|sea|urban","superheated|humid|artificial temperate|rocky"
933,"Ukdah IX",7071,8.45,1.39,1.82,"reef","rocky|windy|frigid|subartic|artificial temperate|arid"
934,"Helionyx Sextant",6311,1.85,0.528,1.52,"rock arche|city|jungle","windy|frigid|arid|tropical|rocky"
935,"Helionyx Secant",6311,2.15,1.383,1.16,"tundra|cityscape|island|swamp|lakes","arid|subartic|tropical|superheated"
936,"Helionyx Vigesimal",6311,1.6,1.087,1.14,"savanna","artificial temperate|temperate|windy|humid|subartic|hot"
937,"Libertas Hermian",4696,2.2,1.494,NA,"scrubland|ocean|urban","frozen|artificial temperate|arid"
938,"Vesperian Crypt Chi",4264,7.04,0.669,2.19,"plain|tundra|rocky canyon|glacier|cliff|field","superheated|tropical|frigid|artic"
939,"Thalassa's Shroud Sextant",9494,4.52,1.068,1.62,"ocean|hill|glacier|vine","frozen|temperate|artic|superheated"
940,"Stellaria Crypt Rho",1268,2.21,1.229,1.22,"reef|hill|forest|urban|rocky desert|ocean","rocky|frigid|artic|temperate|superheated"
941,"Stellaria Crypt Eta",1268,5.76,1.635,1.52,"vine|ice cave","artic|subartic|artificial temperate|temperate|tropical"
942,"Stellaria Crypt Pi",1268,5.87,0.925,1.85,"glacier|hill|grassy hill","temperate|windy|artic|frozen"
943,"Stellaria Crypt Xi",1268,8.89,1.027,2.05,"city","artic|frigid|subartic|humid"
944,"Intercrus Hadean",6963,1.87,1.51,1.07,"cliff|volcano|urban","superheated|temperate|tropical|frigid|subartic"
945,"Lunaris VI",7161,1.54,1.016,1.15,"savanna|lakes|bog","temperate|tropical"
946,"Lunaris XXI",7161,2.53,1.061,1.34,"bog|cave","hot|subartic|temperate|windy"
